"","Boeke_2ch","Qin_2ch","Qin_16ch"
"TAF11",1.97310800511574,-0.157690905834218,-0.3347009487898
"YIL067C",1.19403629713713,-1.20683236432982,-0.796794250000504
"BBP1",-3.21980665879468,-4.32322326262472,-1.7713527747579
"GPI8",1.67428982565042,-0.291549452469707,-0.726955776473065
"YND1",1.16012022456645,-1.24416010385199,-0.795270451841251
"ATP23",1.10780014619587,-1.07625206679717,1.14090948601418
"YCR016W",0.815541573360778,-1.66383347126947,-0.855925013611373
"PFA4",0.95697036457114,-1.19137179968203,-1.26593064650761
"RPL1A",0.782607055480375,-1.20974281680927,1.11203111675772
"HTS1",0.930624970854375,-1.47379908524939,-0.872530681296971
"PHO3",-0.989469720241195,-2.85196455949421,-0.482756564039489
"YDR514C",1.2816352036151,-1.21243248293388,-0.00338304879344292
"RIP1",1.09540247363975,-0.68534623685258,-1.30732137040692
"PPM2",0.0530919409052362,1.93942970920214,-0.37949331886672
"THO1",1.25821374935776,-1.18935934206415,-0.134002485721032
"NGR1",-4.16858002625464,-4.20411285548515,-2.06263230889104
"SPI1",0.820654887077011,-0.493758491452853,-1.62718985921405
