density,sample,row,col,plate ,Well
379207.56,308,12,20,1040,G11
516293.62,309,12,21,1040,G11
485257.44,310,12,22,1040,G12
696526.9,311,12,23,1040,G12
714504.6,312,13,0,1040,G01
636674.1,313,13,1,1040,G01
600637.9,314,13,2,1040,G02
573915.7,315,13,3,1040,G02
575795.06,316,13,4,1040,G03
568748.6,317,13,5,1040,G03
584134.4,318,13,6,1040,G04
588704.7,319,13,7,1040,G04
611647,320,13,8,1040,G05
588952.75,321,13,9,1040,G05
601381.4,322,13,10,1040,G06
585624.06,323,13,11,1040,G06
622773.4,324,13,12,1040,G07
616539.56,325,13,13,1040,G07
575576.5,326,13,14,1040,G08
581725.56,327,13,15,1040,G08
578058.4,328,13,16,1040,G09
576741.8,329,13,17,1040,G09
585170.25,330,13,18,1040,G10
570241,331,13,19,1040,G10
557375.3,332,13,20,1040,G11
607714.25,333,13,21,1040,G11
749184.75,334,13,22,1040,G12
826775.9,335,13,23,1040,G12
565822.7,336,14,0,1040,H01
601574.1,337,14,1,1040,H01
418288.25,338,14,2,1040,H02
552296.5,339,14,3,1040,H02
384775.75,340,14,4,1040,H03
556233.4,341,14,5,1040,H03
375556.22,342,14,6,1040,H04
573548.75,343,14,7,1040,H04
392191.22,344,14,8,1040,H05
568968.6,345,14,9,1040,H05
389743.66,346,14,10,1040,H06
579081.6,347,14,11,1040,H06
391448.2,348,14,12,1040,H07
522356.22,349,14,13,1040,H07
422456.4,350,14,14,1040,H08
561764.6,351,14,15,1040,H08
392110.12,352,14,16,1040,H09
550546.5,353,14,17,1040,H09
416140.88,354,14,18,1040,H10
571526.25,355,14,19,1040,H10
463296.34,356,14,20,1040,H11
661487.6,357,14,21,1040,H11
11181.5,358,14,22,1040,H12
10571.359,359,14,23,1040,H12
690690.6,360,15,0,1040,H01
652069.1,361,15,1,1040,H01
709158.3,362,15,2,1040,H02
698657.44,363,15,3,1040,H02
715508.4,364,15,4,1040,H03
715589.6,365,15,5,1040,H03
706151.6,366,15,6,1040,H04
700726.4,367,15,7,1040,H04
741397.2,368,15,8,1040,H05
737670.56,369,15,9,1040,H05
753785.56,370,15,10,1040,H06
775656.56,371,15,11,1040,H06
631735.56,372,15,12,1040,H07
652796,373,15,13,1040,H07
